               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12221,            0.040866,                   0,                   0,                   0,                   0,                   0,              0.1222,            0.031467,                   0,              0.0002,              0.0002,              0.0982
                   1,             0.11975,            0.038409,                   0,                   0,                   0,                   0,                   0,               0.122,            0.031526,                   0,           0.0004901,           0.0004901,             0.09549
                   2,             0.12508,            0.036746,                   0,                   0,                   0,                   0,                   0,             0.12181,            0.031541,                   0,          0.00076832,          0.00076832,            0.092768
                   3,             0.11817,            0.033655,                   0,                   0,                   0,                   0,                   0,             0.12144,            0.031658,                   0,           0.0010347,           0.0010347,            0.090035
                   4,             0.12266,              0.0373,                   0,                   0,                   0,                   0,                   0,             0.12144,            0.031658,                   0,           0.0012891,           0.0012891,            0.087289
                   5,             0.11556,            0.033066,                   0,                   0,                   0,                   0,                   0,             0.12105,            0.031799,                   0,           0.0015317,           0.0015317,            0.084532
                   6,             0.11429,              0.0393,                   0,                   0,                   0,                   0,                   0,             0.12105,            0.031799,                   0,           0.0017624,           0.0017624,            0.081762
                   7,             0.12117,            0.038446,                   0,                   0,                   0,                   0,                   0,             0.12105,            0.031799,                   0,           0.0019812,           0.0019812,            0.078981
                   8,             0.12453,            0.042066,                   0,                   0,                   0,                   0,                   0,             0.12073,            0.031872,                   0,           0.0021882,           0.0021882,            0.076188
                   9,             0.12161,            0.038842,                   0,                   0,                   0,                   0,                   0,             0.12073,            0.031872,                   0,           0.0023832,           0.0023832,            0.073383
                  10,             0.12206,             0.03586,                   0,                   0,                   0,                   0,                   0,             0.12073,            0.031872,                   0,           0.0025664,           0.0025664,            0.070566
                  11,             0.12224,            0.034027,                   0,                   0,                   0,                   0,                   0,             0.12073,            0.031872,                   0,           0.0027377,           0.0027377,            0.067738
                  12,             0.12331,            0.037357,                   0,                   0,                   0,                   0,                   0,             0.12012,             0.03228,                   0,           0.0028971,           0.0028971,            0.064897
                  13,             0.11566,            0.033999,                   0,                   0,                   0,                   0,                   0,             0.12012,             0.03228,                   0,           0.0030447,           0.0030447,            0.062045
                  14,             0.12027,            0.036428,                   0,                   0,                   0,                   0,                   0,             0.12012,             0.03228,                   0,           0.0031803,           0.0031803,             0.05918
                  15,             0.11314,            0.033073,                   0,                   0,                   0,                   0,                   0,             0.12012,             0.03228,                   0,           0.0033041,           0.0033041,            0.056304
                  16,             0.11342,            0.036991,                   0,                   0,                   0,                   0,                   0,             0.12012,             0.03228,                   0,            0.003416,            0.003416,            0.053416
                  17,             0.11224,            0.034719,                   0,                   0,                   0,                   0,                   0,              0.1177,            0.033204,                   0,            0.003516,            0.003516,            0.050516
                  18,              0.1171,            0.035852,                   0,                   0,                   0,                   0,                   0,              0.1177,            0.033204,                   0,           0.0036042,           0.0036042,            0.047604
                  19,             0.11345,            0.035144,                   0,                   0,                   0,                   0,                   0,              0.1177,            0.033204,                   0,           0.0036804,           0.0036804,             0.04468
                  20,             0.11375,            0.044876,                   0,                   0,                   0,                   0,                   0,              0.1177,            0.033204,                   0,           0.0037448,           0.0037448,            0.041745
                  21,             0.10922,            0.041676,                   0,                   0,                   0,                   0,                   0,              0.1177,            0.033204,                   0,           0.0037973,           0.0037973,            0.038797
                  22,             0.10711,            0.034928,                   0,                   0,                   0,                   0,                   0,              0.1177,            0.033204,                   0,           0.0038379,           0.0038379,            0.035838
                  23,             0.10855,            0.033136,                   0,                   0,                   0,                   0,                   0,              0.1177,            0.033204,                   0,           0.0038667,           0.0038667,            0.032867
                  24,             0.10582,            0.030492,                   0,                   0,                   0,                   0,                   0,              0.1177,            0.033204,                   0,           0.0038835,           0.0038835,            0.029884
                  25,             0.11054,            0.033707,                   0,                   0,                   0,                   0,                   0,              0.1177,            0.033204,                   0,           0.0038885,           0.0038885,            0.026888
                  26,             0.10432,            0.036078,                   0,                   0,                   0,                   0,                   0,             0.11507,            0.034593,                   0,           0.0038816,           0.0038816,            0.023882
                  27,             0.11026,            0.041465,                   0,                   0,                   0,                   0,                   0,             0.11507,            0.034593,                   0,           0.0038628,           0.0038628,            0.020863
                  28,             0.11391,            0.036665,                   0,                   0,                   0,                   0,                   0,             0.11507,            0.034593,                   0,           0.0038322,           0.0038322,            0.017832
                  29,             0.10563,            0.042857,                   0,                   0,                   0,                   0,                   0,             0.11507,            0.034593,                   0,           0.0037896,           0.0037896,             0.01479
                  30,             0.10773,             0.03266,                   0,                   0,                   0,                   0,                   0,             0.11507,            0.034593,                   0,           0.0037352,           0.0037352,            0.011735
                  31,             0.11092,            0.038635,                   0,                   0,                   0,                   0,                   0,             0.11507,            0.034593,                   0,           0.0036689,           0.0036689,           0.0086689
                  32,             0.11176,            0.035233,                   0,                   0,                   0,                   0,                   0,             0.11507,            0.034593,                   0,           0.0035907,           0.0035907,           0.0055907
                  33,             0.10886,            0.038018,                   0,                   0,                   0,                   0,                   0,             0.11507,            0.034593,                   0,            0.003466,            0.003466,            0.003466
                  34,             0.11143,            0.031536,                   0,                   0,                   0,                   0,                   0,             0.11507,            0.034593,                   0,            0.003466,            0.003466,            0.003466
                  35,             0.10525,             0.03433,                   0,                   0,                   0,                   0,                   0,             0.11507,            0.034593,                   0,            0.003268,            0.003268,            0.003268
                  36,              0.1125,            0.031535,                   0,                   0,                   0,                   0,                   0,             0.11177,             0.03634,                   0,             0.00307,             0.00307,             0.00307
                  37,              0.1073,            0.034026,                   0,                   0,                   0,                   0,                   0,             0.11177,             0.03634,                   0,            0.002872,            0.002872,            0.002872
                  38,             0.10881,            0.040686,                   0,                   0,                   0,                   0,                   0,             0.11177,             0.03634,                   0,            0.002674,            0.002674,            0.002674
                  39,              0.1092,            0.054181,                   0,                   0,                   0,                   0,                   0,             0.11177,             0.03634,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.10429,            0.044377,                   0,                   0,                   0,                   0,                   0,             0.11177,             0.03634,                   0,            0.002278,            0.002278,            0.002278
                  41,             0.10417,            0.037956,                   0,                   0,                   0,                   0,                   0,             0.11177,             0.03634,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.10461,             0.04696,                   0,                   0,                   0,                   0,                   0,             0.11177,             0.03634,                   0,            0.001882,            0.001882,            0.001882
                  43,             0.11107,            0.036065,                   0,                   0,                   0,                   0,                   0,             0.11177,             0.03634,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.10863,            0.037951,                   0,                   0,                   0,                   0,                   0,             0.11177,             0.03634,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.099925,             0.03661,                   0,                   0,                   0,                   0,                   0,             0.11177,             0.03634,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.11201,            0.042965,                   0,                   0,                   0,                   0,                   0,             0.11177,             0.03634,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.11461,            0.044159,                   0,                   0,                   0,                   0,                   0,             0.11064,            0.036575,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.11246,            0.039525,                   0,                   0,                   0,                   0,                   0,             0.11064,            0.036575,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.067793,            0.029968,                   0,                   0,                   0,                   0,                   0,             0.11064,            0.036575,                   0,            0.000496,            0.000496,            0.000496
